,id,img,label,text,predicted_label,inference_path
0,42953,img/42953.png,0,its their character not their color that matters,0,L2_Heterogeneous_Match
1,23058,img/23058.png,0,don't be afraid to love again everyone is not like your ex,0,L2_Heterogeneous_Match
2,13894,img/13894.png,0,putting bows on your pet,0,L2_Heterogeneous_Match
3,37408,img/37408.png,0,i love everything and everybody! except for squirrels i hate squirrels,0,L2_Heterogeneous_Match
4,82403,img/82403.png,0,"everybody loves chocolate chip cookies, even hitler",0,L3_Expert_Consensus
5,16952,img/16952.png,0,go sports! do the thing! win the points!,0,L2_Heterogeneous_Match
6,76932,img/76932.png,0,fine you're right. now can we fucking drop it?,0,L2_Heterogeneous_Match
7,70914,img/70914.png,0,tattoos are bad for your health i know 5 million people that had tattoos and they all died,0,L2_Heterogeneous_Match
8,2973,img/02973.png,0,how long can i run? till the chain tightens,0,L2_Heterogeneous_Match
9,58306,img/58306.png,0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",0,L2_Heterogeneous_Match
10,79351,img/79351.png,1,jew mad? get fuhrerious!,1,L2_Heterogeneous_Match
11,34096,img/34096.png,0,"removes polish with chemicals, nobody bats an eye",0,L2_Heterogeneous_Match
12,25489,img/25489.png,1,brother... a day without a blast is a day wasted,0,L2_Heterogeneous_Match
13,19324,img/19324.png,0,when you're the only dog left at the dog shelter and the black family wants to adopt you,1,L2_Heterogeneous_Match
14,79346,img/79346.png,0,voting for hillary is like letting casey anthony watch your kids because she's not guilty,0,L2_Heterogeneous_Match
15,13426,img/13426.png,0,they will soon be free,0,L2_Safety_Bypass_to_L3
16,97628,img/97628.png,0,"is it ok for your son or daughter to call another man ""daddy?",0,L2_Heterogeneous_Match
17,14238,img/14238.png,0,most religions are religions of peace,0,L2_Heterogeneous_Match
18,28936,img/28936.png,0,when you find out there's an opening for the role of first lady,0,L2_Heterogeneous_Match
19,59784,img/59784.png,0,if people reject me because i stand on the truth then i have no problem walking alone,0,L2_Heterogeneous_Match
20,2146,img/02146.png,0,from the bottom of my heart i would like to sincerely apologize..... for being white,0,L2_Heterogeneous_Match
21,70146,img/70146.png,0,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border",1,L2_Heterogeneous_Match
22,28061,img/28061.png,0,just because they do this dosen't mean they'll do this,0,L2_Heterogeneous_Match
23,97180,img/97180.png,0,if there is no race it can't be homicide,1,L2_Heterogeneous_Match
24,49752,img/49752.png,0,here's to all my friends who never post about politics or religion,0,L2_Heterogeneous_Match
25,25610,img/25610.png,0,enjoying a day at the beach,0,L2_Heterogeneous_Match
26,15872,img/15872.png,0,when you come home from a long day of suicide bombinb and your wife gives you this look,1,L2_Safety_Bypass_to_L3
27,72640,img/72640.png,1,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.",1,L2_Heterogeneous_Match
28,64318,img/64318.png,0,when they take too long to blow out the candle,0,L2_Heterogeneous_Match
29,17956,img/17956.png,0,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell,0,L2_Heterogeneous_Match
30,93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,0,L3_Expert_Consensus
31,10743,img/10743.png,0,move to new york they said it'll be fun they said,0,L2_Heterogeneous_Match
32,37091,img/37091.png,0,my sandwich-maker is very slow today,0,L2_Heterogeneous_Match
33,25719,img/25719.png,0,when you accidentally fall in the toilet,0,L2_Heterogeneous_Match
34,76825,img/76825.png,0,two woman walking home together after a nice day out together,0,L2_Heterogeneous_Match
35,72598,img/72598.png,0,texas churches be like... pew pew pew,0,L2_Heterogeneous_Match
36,43078,img/43078.png,0,i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky,0,L2_Heterogeneous_Match
37,51846,img/51846.png,0,doesn't wear tampons because she trips over the string,0,L2_Heterogeneous_Match
38,1569,img/01569.png,0,when you can't decide to pre heat the oven or just throw the meal in right away,0,L2_Heterogeneous_Match
39,95812,img/95812.png,0,happy shot in the face day 5-2-2011,0,L2_Safety_Bypass_to_L3
40,6418,img/06418.png,0,1 bomb every minute,0,L3_Expert_Consensus
41,53976,img/53976.png,0,black power comes with a lot of responsibility,0,L2_Heterogeneous_Match
42,70193,img/70193.png,0,that chiken is so black no one is going to eat it,1,L2_Heterogeneous_Match
43,60427,img/60427.png,0,i hope both teams lose,0,L2_Heterogeneous_Match
44,78395,img/78395.png,0,say the damn pronouns,0,L3_Expert_Consensus
45,4876,img/04876.png,0,goin,0,L2_Heterogeneous_Match
46,92075,img/92075.png,0,we need problem solvers not racist and religious bigots in office,0,L2_Heterogeneous_Match
47,86354,img/86354.png,0,officer down,0,L2_Heterogeneous_Match
48,74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,1,L2_Heterogeneous_Match
49,59613,img/59613.png,0,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,1,L2_Heterogeneous_Match
50,10263,img/10263.png,0,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism""",0,L2_Heterogeneous_Match
51,48279,img/48279.png,0,nice watch must have cost an arm and a leg,0,L2_Heterogeneous_Match
52,52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,1,L3_Expert_Consensus
53,58371,img/58371.png,0,when you suck at photoshop,0,L2_Heterogeneous_Match
54,27401,img/27401.png,0,for the last time.. i'm not michelle obama,0,L2_Heterogeneous_Match
55,89574,img/89574.png,0,i'm cute,0,L2_Heterogeneous_Match
